iter	Passed	Remaining
418	1828	2535
419	1830	2528
420	1833	2521
421	1836	2514
422	1839	2508
423	1841	2501
424	1843	2494
425	1846	2487
426	1848	2480
427	1851	2474
428	1854	2468
429	1857	2461
430	1859	2455
431	1861	2448
432	1864	2441
433	1867	2435
434	1869	2428
435	1872	2421
436	1874	2415
437	1877	2408
438	1879	2402
439	1882	2395
440	1885	2389
441	1887	2383
442	1890	2376
443	1894	2372
444	1897	2366
445	1901	2361
446	1907	2359
447	1910	2354
448	1913	2348
449	1916	2342
450	1918	2335
451	1922	2331
452	1925	2325
453	1928	2319
454	1931	2313
455	1934	2308
456	1938	2303
457	1940	2296
458	1943	2290
459	1946	2284
460	1948	2278
461	1951	2272
462	1953	2266
463	1956	2259
464	1958	2253
465	1961	2247
466	1964	2241
467	1966	2235
468	1969	2229
469	1971	2223
470	1974	2217
471	1976	2211
472	1979	2205
473	1981	2199
474	1984	2193
475	1987	2187
476	1989	2181
477	1992	2175
478	1994	2169
479	1997	2163
480	1999	2157
481	2001	2151
482	2004	2145
483	2007	2139
484	2009	2134
485	2012	2128
486	2014	2122
487	2017	2116
488	2020	2111
489	2022	2105
490	2025	2099
491	2027	2093
492	2030	2088
493	2032	2082
494	2035	2077
495	2038	2071
496	2040	2065
497	2043	2059
498	2046	2054
499	2048	2048
500	2051	2043
501	2054	2037
502	2056	2032
503	2059	2026
504	2062	2021
505	2064	2015
506	2067	2010
507	2070	2004
508	2072	1999
509	2075	1993
510	2077	1987
511	2080	1982
512	2082	1977
513	2085	1971
514	2088	1966
515	2091	1961
516	2094	1956
517	2096	1951
518	2099	1945
519	2101	1940
520	2104	1934
521	2107	1929
522	2109	1924
523	2112	1919
524	2115	1914
525	2119	1909
526	2122	1905
527	2125	1900
528	2129	1895
529	2133	1891
530	2136	1886
531	2138	1881
532	2141	1876
533	2148	1874
534	2151	1870
535	2156	1866
536	2159	1862
537	2163	1858
538	2167	1854
539	2173	1851
540	2176	1846
541	2180	1842
542	2185	1839
543	2188	1834
544	2192	1830
545	2195	1825
546	2198	1820
547	2203	1817
548	2208	1814
549	2212	1810
550	2215	1805
551	2219	1801
552	2222	1796
553	2226	1792
554	2229	1787
555	2232	1783
556	2236	1778
557	2239	1774
558	2243	1769
559	2246	1765
560	2250	1760
561	2253	1756
562	2257	1752
563	2261	1747
564	2264	1743
565	2270	1740
566	2274	1736
567	2277	1732
568	2280	1727
569	2284	1723
570	2287	1718
571	2291	1714
572	2294	1710
573	2299	1706
574	2303	1702
575	2310	1700
576	2314	1696
577	2318	1692
578	2321	1688
579	2325	1684
580	2329	1680
581	2336	1677
582	2341	1674
583	2362	1682
584	2365	1678
585	2369	1674
586	2373	1670
587	2377	1665
588	2382	1662
589	2388	1659
590	2391	1655
591	2395	1651
592	2399	1646
593	2403	1642
594	2411	1641
595	2414	1636
596	2418	1632
597	2421	1628
598	2425	1623
599	2428	1618
600	2432	1614
601	2435	1610
602	2440	1606
603	2445	1603
604	2448	1598
605	2459	1599
606	2465	1595
607	2467	1591
608	2470	1586
609	2473	1581
610	2479	1578
611	2482	1574
612	2486	1569
613	2490	1565
614	2494	1561
615	2498	1557
616	2501	1552
617	2505	1548
618	2510	1545
619	2515	1541
620	2520	1538
621	2523	1533
622	2526	1528
623	2529	1524
624	2533	1519
625	2536	1515
626	2538	1510
627	2541	1505
628	2544	1501
629	2547	1496
630	2551	1492
631	2554	1487
632	2558	1483
633	2561	1478
634	2564	1474
635	2568	1470
636	2571	1465
637	2573	1460
638	2577	1456
639	2580	1451
640	2584	1447
641	2590	1444
642	2600	1443
643	2604	1439
644	2607	1435
645	2611	1431
646	2616	1427
647	2620	1423
648	2628	1421
649	2632	1417
650	2635	1412
651	2637	1407
652	2640	1403
653	2643	1398
654	2646	1394
655	2649	1389
656	2652	1384
657	2656	1380
658	2658	1375
659	2662	1371
660	2665	1366
661	2667	1362
662	2670	1357
663	2672	1352
664	2675	1348
665	2678	1343
666	2680	1338
667	2683	1333
668	2686	1329
669	2689	1324
670	2692	1320
671	2695	1315
672	2699	1311
673	2703	1307
674	2712	1306
675	2716	1302
676	2719	1297
677	2721	1292
678	2724	1287
679	2726	1283
680	2729	1278
681	2732	1274
682	2735	1269
683	2738	1265
684	2741	1260
685	2744	1256
686	2747	1251
687	2750	1247
688	2753	1242
689	2756	1238
690	2759	1233
691	2761	1229
692	2764	1224
693	2767	1220
694	2770	1215
695	2773	1211
696	2778	1207
697	2781	1203
698	2785	1199
699	2789	1195
700	2793	1191
701	2801	1189
702	2806	1185
703	2810	1181
704	2815	1178
705	2817	1173
706	2823	1170
707	2826	1165
708	2829	1161
709	2831	1156
710	2834	1152
711	2838	1148
712	2840	1143
713	2843	1138
714	2846	1134
715	2848	1130
716	2852	1126
717	2856	1121
718	2859	1117
719	2862	1113
720	2866	1109
721	2868	1104
722	2870	1099
723	2873	1095
724	2875	1090
725	2877	1086
726	2880	1081
727	2882	1077
728	2884	1072
729	2887	1067
730	2889	1063
731	2891	1058
732	2894	1054
733	2896	1049
734	2899	1045
735	2901	1040
736	2903	1036
737	2905	1031
738	2909	1027
739	2911	1022
740	2914	1018
741	2916	1014
742	2919	1009
743	2922	1005
744	2925	1001
745	2928	997
746	2931	992
747	2934	988
748	2937	984
749	2941	980
750	2944	976
751	2947	972
752	2951	968
753	2955	964
754	2957	959
755	2960	955
756	2963	951
757	2968	947
758	2972	943
759	2975	939
760	2978	935
761	2981	931
762	2985	927
763	2988	923
764	2991	918
765	2995	915
766	3000	911
767	3003	907
768	3006	903
769	3009	898
770	3012	894
771	3015	890
772	3023	888
773	3026	883
774	3030	879
775	3033	875
776	3035	871
777	3043	868
778	3047	864
779	3049	860
780	3052	856
781	3056	851
782	3060	848
783	3063	843
784	3066	839
785	3068	835
786	3071	831
787	3074	827
788	3078	823
789	3081	819
790	3084	815
791	3087	810
792	3090	806
793	3093	802
794	3095	798
795	3099	794
796	3101	790
797	3105	785
798	3108	781
799	3111	777
800	3113	773
801	3116	769
802	3119	765
803	3122	761
804	3124	756
805	3127	752
806	3129	748
807	3132	744
808	3135	740
809	3138	736
810	3141	732
811	3143	727
812	3146	723
813	3148	719
814	3151	715
815	3153	711
816	3156	707
817	3159	702
818	3161	698
819	3163	694
820	3165	690
821	3168	686
822	3171	682
823	3174	678
824	3177	673
825	3179	669
826	3182	665
827	3184	661
828	3186	657
829	3189	653
830	3191	649
831	3194	645
832	3197	640
833	3199	636
834	3202	632
835	3204	628
836	3207	624
837	3210	620
838	3212	616
839	3215	612
840	3217	608
841	3221	604
842	3224	600
843	3226	596
844	3230	592
845	3234	588
846	3238	584
847	3242	581
848	3246	577
849	3248	573
850	3252	569
851	3255	565
852	3257	561
853	3259	557
854	3262	553
855	3266	549
856	3269	545
857	3272	541
858	3275	537
859	3277	533
860	3280	529
861	3283	525
862	3286	521
863	3288	517
864	3290	513
865	3293	509
866	3296	505
867	3299	501
868	3301	497
869	3304	493
870	3306	489
871	3309	485
872	3311	481
873	3315	477
874	3317	473
875	3319	469
876	3322	465
877	3324	461
878	3327	458
879	3330	454
880	3332	450
881	3335	446
882	3338	442
883	3340	438
884	3343	434
885	3346	430
886	3348	426
887	3351	422
888	3353	418
889	3356	414
890	3358	410
891	3361	406
892	3363	403
